IGHV1-11*01	1	90	91	105	106	147	148	198	199	294
IGHV1-12*01	1	90	91	105	106	147	148	198	199	294
IGHV1-13*01	1	90	91	105	106	147	148	198	199	294
IGHV1-14*01	1	90	91	105	106	147	148	198	199	294
IGHV1-15*01	1	90	91	105	106	147	148	198	199	294
IGHV1-16*01	1	90	91	105	106	147	148	198	199	294
IGHV1-17-1*01	1	90	91	105	106	147	148	198	199	294
IGHV1-18*01	1	90	91	105	106	147	148	198	199	294
IGHV1-18*02	1	90	91	105	106	147	148	198	199	253
IGHV1-18*03	1	90	91	105	106	147	148	198	199	252
IGHV1-19*01	1	90	91	105	106	147	148	198	199	294
IGHV1-19-1*01	1	90	91	105	106	147	148	198	199	294
IGHV1-20*01	1	90	91	105	106	147	148	198	199	294
IGHV1-20*02	1	90	91	105	106	147	148	198	199	294
IGHV1-21*01	1	90	91	105	106	147	148	198	199	294
IGHV1-21-1*01	1	90	91	105	106	147	148	198	199	294
IGHV1-22*01	1	90	91	105	106	147	148	198	199	294
IGHV1-23*01	1	90	91	105	106	147	148	198	199	294
IGHV1-24*01	1	90	91	105	106	147	148	198	199	294
IGHV1-25*01	1	90	91	105	106	147	148	198	199	294
IGHV1-26*01	1	90	91	105	106	147	148	198	199	294
IGHV1-27*01	1	90	91	105	106	147	148	198	199	294
IGHV1-28*01	1	90	91	105	106	147	148	198	199	294
IGHV1-31*01	1	90	91	105	106	147	148	198	199	294
IGHV1-32*01	1	90	91	105	106	147	148	198	199	294
IGHV1-34*01	1	90	91	105	106	147	148	198	199	294
IGHV1-34*02	1	90	91	105	106	147	148	198	199	294
IGHV1-35*01	1	90	91	105	106	147	148	198	199	294
IGHV1-35*02	1	90	91	105	106	147	148	198	199	294
IGHV1-35*03	1	90	91	105	106	147	148	198	199	254
IGHV1-36*01	1	90	91	105	106	147	148	198	199	294
IGHV1-37*01	1	90	91	105	106	147	148	198	199	294
IGHV1-39*01	1	90	91	105	106	147	148	198	199	294
IGHV1-4*01	1	90	91	105	106	147	148	198	199	294
IGHV1-4*02	1	90	91	105	106	147	148	198	199	294
IGHV1-42*01	1	90	91	105	106	147	148	198	199	294
IGHV1-42*02	1	90	91	105	106	147	148	198	199	253
IGHV1-42*03	1	90	91	105	106	147	148	198	199	253
IGHV1-43*01	1	90	91	105	106	147	148	198	199	294
IGHV1-46*01	1	90	91	105	106	147	148	198	199	294
IGHV1-47*01	1	90	91	105	106	147	148	198	199	294
IGHV1-48*01	1	90	91	105	106	147	148	198	199	294
IGHV1-49*01	1	90	91	105	106	147	148	198	199	294
