Clavage	N	Type	abundance	gen_length	subject_id
False	0	V	7	296	IGHV1-18
True	0	D left	7	31	IGHD3-9
True	0	D right	7	31	IGHD3-9
True	0	J	7	62	IGHJ6
True	1	V	34	293	IGHV3-53
True	1	D left	34	30	IGHD3-10
True	1	D right	34	30	IGHD3-10
True	1	J	34	51	IGHJ5
False	2	V	84	296	IGHV3-7
True	2	D left	84	37	IGHD3-16
True	2	D right	84	37	IGHD3-16
True	2	J	84	48	IGHJ4
True	3	V	11	296	IGHV5-51
True	3	D left	11	31	IGHD2-15
True	3	D right	11	31	IGHD2-15
True	3	J	11	52	IGHJ1
False	4	V	9	296	IGHV5-51
True	4	D left	9	30	IGHD3-10
True	4	D right	9	30	IGHD3-10
True	4	J	9	62	IGHJ6
True	5	V	57	296	IGHV7-4-1
True	5	D left	57	31	IGHD3-10
True	5	D right	57	31	IGHD3-10
True	5	J	57	48	IGHJ4
True	6	V	5	298	IGHV3-9
True	6	D left	5	30	IGHD3-10
True	6	D right	5	30	IGHD3-10
True	6	J	5	50	IGHJ3
False	7	V	9	296	IGHV5-51
True	7	D left	9	31	IGHD2-15
True	7	D right	9	31	IGHD2-15
True	7	J	9	62	IGHJ6
True	8	V	7	296	IGHV1-69
True	8	D left	7	31	IGHD3-10
True	8	D right	7	31	IGHD3-10
False	8	J	7	48	IGHJ4
False	9	V	18	296	IGHV5-51
True	9	D left	18	30	IGHD3-10
True	9	D right	18	30	IGHD3-10
True	9	J	18	48	IGHJ4
True	10	V	14	296	IGHV7-4-1
True	10	D left	14	31	IGHD2-8
True	10	D right	14	31	IGHD2-8
True	10	J	14	48	IGHJ4
False	11	V	5	305	IGHV6-1
True	11	D left	5	20	IGHD5-24
True	11	D right	5	20	IGHD5-24
True	11	J	5	48	IGHJ4
False	12	V	7	294	IGHV3-74
True	12	D left	7	31	IGHD2-2
True	12	D right	7	31	IGHD2-2
True	12	J	7	62	IGHJ6
False	13	V	6	296	IGHV1-69
True	13	D left	6	31	IGHD3-22
True	13	D right	6	31	IGHD3-22
True	13	J	6	48	IGHJ4
True	14	V	5	296	IGHV1-18
True	14	D left	5	31	IGHD3-10
True	14	D right	5	31	IGHD3-10
True	14	J	5	50	IGHJ3
False	15	V	8	296	IGHV3-30
True	15	D left	8	37	IGHD3-16
True	15	D right	8	37	IGHD3-16
True	15	J	8	51	IGHJ5
True	16	V	8	296	IGHV1-18
False	16	D left	8	21	IGHD6-13
False	16	D right	8	21	IGHD6-13
True	16	J	8	62	IGHJ6
True	17	V	6	296	IGHV3-30
True	17	D left	6	17	IGHD1-20
